epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,509.52,0.47108,0.31983,0.88874,0.96397,1,0.995,0.8991,0.53746,0.29152,0.82168,0.000190404,0.000190404,0.000190404
116,514.187,0.46189,0.32511,0.86675,0.9754,1,0.995,0.90435,0.52358,0.26838,0.81355,0.000185329,0.000185329,0.000185329
117,518.523,0.44483,0.32504,0.85688,0.97682,1,0.995,0.90499,0.50968,0.27463,0.81422,0.000180254,0.000180254,0.000180254
118,522.465,0.42638,0.29724,0.85775,0.97663,1,0.995,0.92065,0.51466,0.27617,0.82477,0.000175178,0.000175178,0.000175178
119,527.083,0.43822,0.31564,0.85816,0.9757,1,0.995,0.87643,0.53653,0.27346,0.83085,0.000170103,0.000170103,0.000170103
120,531.514,0.43683,0.29204,0.86097,0.97544,1,0.995,0.89626,0.52412,0.26322,0.82793,0.000165027,0.000165027,0.000165027
121,535.434,0.42948,0.2869,0.85548,0.97615,1,0.995,0.9067,0.5128,0.27149,0.82559,0.000159952,0.000159952,0.000159952
122,539.946,0.42847,0.31096,0.85482,0.97475,1,0.995,0.88728,0.49112,0.27181,0.81616,0.000154877,0.000154877,0.000154877
123,544.535,0.43149,0.29848,0.86121,0.97038,1,0.995,0.89005,0.5,0.26696,0.8109,0.000149801,0.000149801,0.000149801
124,548.47,0.42683,0.2968,0.87538,0.97229,1,0.995,0.86875,0.55785,0.26386,0.8247,0.000144726,0.000144726,0.000144726
125,553.087,0.4146,0.28982,0.85758,0.97365,1,0.995,0.87926,0.54241,0.26794,0.82796,0.00013965,0.00013965,0.00013965
126,557.427,0.42275,0.29309,0.85821,0.97487,1,0.995,0.8771,0.53772,0.26868,0.83343,0.000134575,0.000134575,0.000134575
127,561.34,0.42135,0.29239,0.85408,0.97337,1,0.995,0.88082,0.55718,0.28555,0.83241,0.0001295,0.0001295,0.0001295
128,565.926,0.44934,0.3056,0.86132,0.97671,1,0.995,0.88535,0.53953,0.28475,0.82224,0.000124424,0.000124424,0.000124424
129,570.193,0.41283,0.30733,0.85404,0.97654,1,0.995,0.8876,0.53081,0.2788,0.82033,0.000119349,0.000119349,0.000119349
